date,name,value
2025-03-01,C. White,1030
2025-03-01,D. Capaccioli,1015
2025-03-01,P. Krans,1019
2025-03-01,S. Lizotte,1032
2025-04-01,A. Ripley,999
2025-04-01,C. White,1030
2025-04-01,D. Capaccioli,1013
2025-04-01,D. Mahoney,968
2025-04-01,D. Maloney,988
2025-04-01,G. MacDougall,1004
2025-04-01,J. Chiu,997
2025-04-01,J. Patenaude,999
2025-04-01,K. Moriarty,1008
2025-04-01,M. Armstrong,991
2025-04-01,P. Krans,1023
2025-04-01,S. Lizotte,1035
2025-05-01,A. Ripley,994
2025-05-01,C. White,1031
2025-05-01,D. Capaccioli,1014
2025-05-01,D. Mahoney,969
2025-05-01,D. Maloney,986
2025-05-01,G. MacDougall,1003
2025-05-01,J. Chiu,998
2025-05-01,J. Patenaude,1000
2025-05-01,K. Moriarty,1009
2025-05-01,M. Armstrong,991
2025-05-01,M. Chapalonis,1010
2025-05-01,O. Hamilton,989
2025-05-01,P. Krans,1026
2025-05-01,S. Henderson,989
2025-05-01,S. Lizotte,1034
2025-06-01,A. Ripley,994
2025-06-01,C. White,1030
2025-06-01,D. Capaccioli,1019
2025-06-01,D. Mahoney,969
2025-06-01,D. Maloney,986
2025-06-01,G. MacDougall,1010
2025-06-01,I. Christiansen,978
2025-06-01,J. Chiu,997
2025-06-01,J. Patenaude,1000
2025-06-01,K. Moriarty,1011
2025-06-01,M. Armstrong,991
2025-06-01,M. Chapalonis,1010
2025-06-01,O. Hamilton,988
2025-06-01,P. Krans,1025
2025-06-01,S. Henderson,995
2025-06-01,S. Lizotte,1037
2025-07-01,A. Ripley,995
2025-07-01,C. White,1027
2025-07-01,D. Capaccioli,1023
2025-07-01,D. Mahoney,973
2025-07-01,D. Maloney,986
2025-07-01,G. MacDougall,1009
2025-07-01,I. Christiansen,977
2025-07-01,J. Cairn,992
2025-07-01,J. Chiu,1000
2025-07-01,J. Patenaude,1000
2025-07-01,K. Moriarty,1009
2025-07-01,M. Armstrong,991
2025-07-01,M. Chapalonis,1010
2025-07-01,O. Hamilton,987
2025-07-01,P. Krans,1030
2025-07-01,S. Henderson,1001
2025-07-01,S. Lizotte,1037
2025-08-01,A. Ripley,997
2025-08-01,C. White,1027
2025-08-01,D. Capaccioli,1020
2025-08-01,D. Mahoney,977
2025-08-01,D. Maloney,988
2025-08-01,G. MacDougall,1009
2025-08-01,I. Christiansen,977
2025-08-01,J. Cairn,992
2025-08-01,J. Chiu,1004
2025-08-01,J. Patenaude,1000
2025-08-01,K. Moriarty,1011
2025-08-01,M. Armstrong,990
2025-08-01,M. Chapalonis,1010
2025-08-01,O. Hamilton,987
2025-08-01,P. Krans,1028
2025-08-01,S. Henderson,1007
2025-08-01,S. Lizotte,1038
2025-08-01,Z. Bernier,998
2025-09-01,A. Campbell,990
2025-09-01,A. Ripley,1001
2025-09-01,C. White,1030
2025-09-01,D. Capaccioli,1018
2025-09-01,D. Mahoney,977
2025-09-01,D. Maloney,988
2025-09-01,G. MacDougall,1008
2025-09-01,I. Christiansen,977
2025-09-01,J. Cairn,992
2025-09-01,J. Chiu,1006
2025-09-01,J. Patenaude,1002
2025-09-01,K. Moriarty,1010
2025-09-01,M. Armstrong,992
2025-09-01,M. Chapalonis,1006
2025-09-01,O. Hamilton,987
2025-09-01,P. Krans,1029
2025-09-01,S. Henderson,1007
2025-09-01,S. Lizotte,1039
2025-09-01,Z. Bernier,998
2025-10-01,A. Campbell,990
2025-10-01,A. Ripley,1002
2025-10-01,C. White,1031
2025-10-01,D. Capaccioli,1019
2025-10-01,D. Mahoney,987
2025-10-01,D. Maloney,989
2025-10-01,G. MacDougall,1012
2025-10-01,I. Christiansen,997
2025-10-01,J. Cairn,992
2025-10-01,J. Chiu,1007
2025-10-01,J. Patenaude,1003
2025-10-01,K. Moriarty,1008
2025-10-01,M. Armstrong,992
2025-10-01,M. Chapalonis,1006
2025-10-01,O. Hamilton,987
2025-10-01,P. Krans,1032
2025-10-01,S. Henderson,1008
2025-10-01,S. Lizotte,1037
2025-10-01,Z. Bernier,998
2025-11-01,A. Campbell,990
2025-11-01,A. Ripley,1002
2025-11-01,C. White,1031
2025-11-01,D. Capaccioli,1020
2025-11-01,D. Mahoney,986
2025-11-01,D. Maloney,989
2025-11-01,G. MacDougall,1012
2025-11-01,I. Christiansen,997
2025-11-01,J. Cairn,992
2025-11-01,J. Chiu,1008
2025-11-01,J. Patenaude,1003
2025-11-01,K. Moriarty,1008
2025-11-01,M. Armstrong,992
2025-11-01,M. Chapalonis,1006
2025-11-01,O. Hamilton,987
2025-11-01,P. Krans,1033
2025-11-01,S. Henderson,1011
2025-11-01,S. Lizotte,1036
2025-11-01,Z. Bernier,998
2025-12-01,A. Campbell,990
2025-12-01,A. Ripley,1002
2025-12-01,C. White,1031
2025-12-01,D. Capaccioli,1021
2025-12-01,D. Mahoney,990
2025-12-01,D. Maloney,989
2025-12-01,G. MacDougall,1012
2025-12-01,I. Christiansen,997
2025-12-01,J. Cairn,992
2025-12-01,J. Chiu,1008
2025-12-01,J. Patenaude,1003
2025-12-01,K. Moriarty,1008
2025-12-01,M. Armstrong,992
2025-12-01,M. Chapalonis,1006
2025-12-01,O. Hamilton,987
2025-12-01,P. Krans,1033
2025-12-01,S. Henderson,1012
2025-12-01,S. Lizotte,1036
2025-12-01,Z. Bernier,998
